Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,No of hours,Approximated Social Grade
1,1,2,3,1,2,1,2,1,2,1,1,3,4,51.0,1
2,1,2,4,2,2,1,1,1,1,1,3,9,3,46.0,2
1,1,1,5,1,2,2,2,1,1,1,2,8,3,32.0,1
3,1,1,3,1,2,1,2,1,2,1,5,2,3,32.0,3
3,1,1,3,1,2,1,1,1,1,1,9,8,2,22.0,4
3,1,2,3,1,2,1,2,1,2,1,3,6,3,41.0,2
2,1,1,4,2,2,1,2,1,2,1,2,10,3,33.0,1
1,1,2,5,2,2,1,1,1,1,1,6,10,2,16.0,3
2,1,2,4,2,2,1,2,1,9,1,6,10,3,46.0,3
1,1,1,4,4,2,2,1,4,2,1,4,9,3,45.0,2
2,1,2,6,2,2,1,2,1,2,1,4,8,3,43.0,2
5,1,1,3,1,2,1,1,1,2,1,2,2,3,36.0,1
2,1,2,5,2,2,1,1,1,2,1,9,8,2,30.0,4
1,1,1,3,1,2,2,2,1,2,1,3,6,4,58.0,2
2,1,1,4,2,2,1,2,1,2,1,1,12,2,22.0,2
5,1,1,3,1,2,1,2,3,4,1,4,7,3,34.0,2
2,1,1,4,1,2,1,2,1,2,1,3,10,3,40.0,2
2,1,2,3,2,2,1,2,1,1,1,6,8,1,6.0,4
2,1,1,6,2,2,1,2,1,2,1,4,3,3,45.0,2
2,1,1,5,2,2,1,4,1,1,1,9,8,3,36.0,4
2,1,1,5,2,2,1,1,1,2,1,2,2,4,55.0,2
2,1,1,6,2,2,1,1,1,2,2,5,8,2,19.0,3
2,1,2,4,2,2,1,1,1,2,1,2,10,1,7.0,1
2,1,1,3,2,2,1,1,1,2,2,5,3,3,32.0,3
2,1,1,5,2,2,1,1,1,2,1,3,9,3,43.0,2
2,1,2,3,2,2,1,1,3,4,1,1,5,3,33.0,2
3,1,2,3,1,2,1,1,1,1,1,1,6,3,35.0,1
2,1,2,5,2,2,1,1,1,2,2,7,4,2,23.0,4
2,1,2,5,2,2,1,1,1,2,1,4,12,1,2.0,2
1,1,1,4,1,2,2,1,3,4,2,8,2,1,5.0,4
4,1,1,2,1,2,2,1,1,1,1,1,5,3,44.0,1
2,1,1,6,2,2,1,2,1,2,1,9,6,2,20.0,4
2,1,2,3,1,2,1,1,1,2,1,6,12,2,24.0,4
1,1,2,6,4,2,1,2,1,2,1,7,4,2,19.0,4
2,1,2,5,2,2,1,1,1,2,1,4,10,3,45.0,2
6,1,1,3,2,2,1,2,3,6,1,1,4,2,27.0,1
6,1,1,2,1,2,1,1,1,2,1,8,2,4,54.0,4
2,1,2,3,2,2,1,3,3,6,1,6,11,3,42.0,3
2,1,1,5,2,2,1,2,1,9,2,8,3,4,49.0,4
2,1,2,5,2,2,2,1,3,2,1,6,12,1,5.0,4
1,1,1,3,1,2,1,2,1,2,1,9,8,3,34.0,4
3,1,1,4,1,2,1,2,1,1,1,8,2,1,1.0,4
2,1,1,7,2,2,1,2,1,2,2,5,3,3,43.0,3
3,1,1,3,1,2,1,1,2,2,2,2,10,4,50.0,1
3,1,1,5,4,2,1,1,1,1,1,8,6,3,40.0,4
2,1,1,6,2,2,1,3,1,2,1,5,3,3,47.0,3
3,1,2,2,1,2,1,2,1,9,1,4,9,3,36.0,2
2,1,1,5,2,2,1,2,1,2,2,8,10,2,18.0,4
2,1,2,4,2,2,1,3,1,2,2,1,3,3,36.0,1
3,1,2,3,1,2,1,1,1,9,1,2,10,3,48.0,1
2,1,1,2,1,2,1,1,1,2,1,5,4,3,31.0,3
3,1,1,6,4,2,1,2,1,2,1,5,2,3,35.0,3
5,1,1,2,1,2,1,1,1,1,1,2,4,3,43.0,1
2,1,2,7,2,2,1,4,1,9,1,6,11,2,25.0,4
3,1,2,3,1,2,1,1,1,6,1,1,5,3,31.0,2
2,1,2,4,2,2,2,1,1,2,1,3,4,2,28.0,2
2,1,2,6,2,2,1,3,1,2,1,4,9,3,34.0,2
3,1,1,3,2,2,2,2,1,2,1,8,6,4,51.0,3
2,1,2,4,2,2,1,3,1,2,1,5,11,2,29.0,3
3,1,1,6,4,2,1,2,1,9,1,1,8,3,36.0,1
5,1,1,6,4,2,1,2,1,1,1,9,6,3,43.0,4
2,1,2,4,2,2,1,1,1,2,1,2,11,3,48.0,2
2,1,2,2,1,1,1,1,1,1,4,4,3,2,28.0,2
2,1,1,3,1,1,1,2,1,2,4,1,4,3,40.0,2
2,1,1,4,2,2,1,1,1,1,1,9,2,3,48.0,4
1,1,1,5,2,2,2,1,3,4,1,8,2,3,41.0,4
2,1,2,4,2,2,1,1,1,2,2,1,4,3,45.0,2
2,1,1,6,2,2,1,3,1,9,1,4,9,3,39.0,2
2,1,1,5,2,2,1,2,1,2,1,8,2,4,52.0,4
5,1,1,2,1,2,1,1,1,2,1,9,5,3,40.0,4
2,1,1,3,1,2,1,2,1,2,1,9,6,2,17.0,4
1,1,2,3,1,2,1,2,1,2,1,7,4,2,18.0,4
2,1,2,2,1,2,1,1,1,2,1,6,12,3,41.0,3
3,1,2,4,4,2,1,1,5,2,1,3,9,3,46.0,2
2,1,2,5,2,2,1,1,1,2,1,6,10,3,45.0,3
6,1,1,2,1,1,2,1,3,4,4,9,5,1,1.0,2
2,1,2,3,1,2,1,1,4,2,1,9,9,3,46.0,3
2,1,1,5,2,2,2,1,1,2,1,2,11,3,33.0,2
2,1,2,4,2,2,2,2,3,6,1,6,11,2,17.0,3
