,Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,No of hours,Approximated Social Grade
331126,2,1,1,6,2,2,1,1,1,2,1,2,12,2,19.0,1
384312,2,1,1,4,2,2,1,2,1,2,1,9,6,3,37.0,3
564250,1,1,1,3,1,2,2,2,1,2,1,4,7,4,51.0,2
517847,2,1,1,4,2,2,1,2,4,2,1,2,3,3,35.0,1
366389,2,1,2,6,2,2,2,3,3,7,1,8,11,2,20.0,4
402031,2,1,1,4,2,2,2,2,1,2,1,8,2,3,46.0,4
521931,2,1,2,4,2,2,1,1,1,2,1,1,8,3,39.0,1
535584,1,1,2,3,1,2,1,2,1,2,1,1,3,4,51.0,1
430500,2,1,2,4,2,2,1,1,1,1,1,3,9,3,46.0,2
468732,1,1,1,5,1,2,2,2,1,1,1,2,8,3,32.0,1
454051,3,1,1,3,1,2,1,2,1,2,1,5,2,3,32.0,3
336082,3,1,1,3,1,2,1,1,1,1,1,9,8,2,22.0,4
515093,3,1,2,3,1,2,1,2,1,2,1,3,6,3,41.0,2
438215,2,1,1,4,2,2,1,2,1,2,1,2,10,3,33.0,1
334830,1,1,2,5,2,2,1,1,1,1,1,6,10,2,16.0,3
412907,2,1,2,4,2,2,1,2,1,9,1,6,10,3,46.0,3
510720,1,1,1,4,4,2,2,1,4,2,1,4,9,3,45.0,2
405115,2,1,2,6,2,2,1,2,1,2,1,4,8,3,43.0,2
470871,5,1,1,3,1,2,1,1,1,2,1,2,2,3,36.0,1
356532,2,1,2,5,2,2,1,1,1,2,1,9,8,2,30.0,4
566040,1,1,1,3,1,2,2,2,1,2,1,3,6,4,58.0,2
353653,2,1,1,4,2,2,1,2,1,2,1,1,12,2,22.0,2
512591,5,1,1,3,1,2,1,2,3,4,1,4,7,3,34.0,2
522543,2,1,1,4,1,2,1,2,1,2,1,3,10,3,40.0,2
310394,2,1,2,3,2,2,1,2,1,1,1,6,8,1,6.0,4
528314,2,1,1,6,2,2,1,2,1,2,1,4,3,3,45.0,2
417844,2,1,1,5,2,2,1,4,1,1,1,9,8,3,36.0,4
534373,2,1,1,5,2,2,1,1,1,2,1,2,2,4,55.0,2
359350,2,1,1,6,2,2,1,1,1,2,2,5,8,2,19.0,3
316286,2,1,2,4,2,2,1,1,1,2,1,2,10,1,7.0,1
407760,2,1,1,3,2,2,1,1,1,2,2,5,3,3,32.0,3
491500,2,1,1,5,2,2,1,1,1,2,1,3,9,3,43.0,2
512872,2,1,2,3,2,2,1,1,3,4,1,1,5,3,33.0,2
425838,3,1,2,3,1,2,1,1,1,1,1,1,6,3,35.0,1
339542,2,1,2,5,2,2,1,1,1,2,2,7,4,2,23.0,4
309466,2,1,2,5,2,2,1,1,1,2,1,4,12,1,2.0,2
303439,1,1,1,4,1,2,2,1,3,4,2,8,2,1,5.0,4
433949,4,1,1,2,1,2,2,1,1,1,1,1,5,3,44.0,1
379291,2,1,1,6,2,2,1,2,1,2,1,9,6,2,20.0,4
339325,2,1,2,3,1,2,1,1,1,2,1,6,12,2,24.0,4
367115,1,1,2,6,4,2,1,2,1,2,1,7,4,2,19.0,4
452890,2,1,2,5,2,2,1,1,1,2,1,4,10,3,45.0,2
